Blender 4.5.3 LTS (hash 67807e1800cc built 2025-09-09 01:33:39)
RNA_float_set: NodeSocket.default_value not found.
Fra:1 Mem:76.49M (Peak 76.49M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_octagonal_foot.004
Fra:1 Mem:76.50M (Peak 76.50M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.028
Fra:1 Mem:76.50M (Peak 76.50M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.029
Fra:1 Mem:76.50M (Peak 76.50M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.030
Fra:1 Mem:76.50M (Peak 76.50M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.032
Fra:1 Mem:76.51M (Peak 76.51M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.033
Fra:1 Mem:76.51M (Peak 76.51M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_attached_shaft.012
Fra:1 Mem:76.51M (Peak 76.51M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_attached_shaft.013
Fra:1 Mem:76.52M (Peak 76.52M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_attached_shaft.014
Fra:1 Mem:76.53M (Peak 76.53M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_capital_neck.004
Fra:1 Mem:76.53M (Peak 76.53M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_octagonal_foot.005
Fra:1 Mem:76.53M (Peak 76.53M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.035
Fra:1 Mem:76.54M (Peak 76.54M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.037
Fra:1 Mem:76.54M (Peak 76.54M) | Time:00:00.06 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.039
