Blender 4.5.3 LTS (hash 67807e1800cc built 2025-09-09 01:33:39)
RNA_float_set: NodeSocket.default_value not found.
Fra:1 Mem:116.75M (Peak 116.75M) | Time:00:00.08 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | Floor foundation
Fra:1 Mem:116.76M (Peak 116.76M) | Time:00:00.08 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | FloorTile_00_00
Fra:1 Mem:116.80M (Peak 116.80M) | Time:00:00.09 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | Back wall mass
Fra:1 Mem:116.81M (Peak 116.81M) | Time:00:00.09 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneWall_Back_00_00
Fra:1 Mem:116.82M (Peak 116.82M) | Time:00:00.09 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneWall_Side_-1_00_00
Fra:1 Mem:117.00M (Peak 117.00M) | Time:00:00.09 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_square_plinth
Fra:1 Mem:117.00M (Peak 117.00M) | Time:00:00.09 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.006
Fra:1 Mem:117.01M (Peak 117.01M) | Time:00:00.09 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_attached_shaft
Fra:1 Mem:117.02M (Peak 117.02M) | Time:00:00.09 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_attached_shaft.001
Fra:1 Mem:117.02M (Peak 117.02M) | Time:00:00.09 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_capital
Fra:1 Mem:117.03M (Peak 117.03M) | Time:00:00.09 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.007
Fra:1 Mem:117.04M (Peak 117.04M) | Time:00:00.09 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.008
Fra:1 Mem:117.04M (Peak 117.04M) | Time:00:00.09 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.009
Fra:1 Mem:117.05M (Peak 117.05M) | Time:00:00.09 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.011
Fra:1 Mem:117.05M (Peak 117.05M) | Time:00:00.09 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.010
