Blender 4.5.3 LTS (hash 67807e1800cc built 2025-09-09 01:33:39)
Read blend: "/Users/jiayaochen/Desktop/avalon/assets/chapel/black_chapel.blend"
Fra:1 Mem:114.60M (Peak 114.60M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.029
Fra:1 Mem:114.60M (Peak 114.60M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.031
Fra:1 Mem:114.60M (Peak 114.60M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.032
Fra:1 Mem:114.61M (Peak 114.61M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.033
Fra:1 Mem:114.61M (Peak 114.61M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.034
Fra:1 Mem:114.61M (Peak 114.61M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_attached_shaft.013
Fra:1 Mem:114.62M (Peak 114.62M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_attached_shaft.014
Fra:1 Mem:114.63M (Peak 114.63M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_octagonal_foot.005
Fra:1 Mem:114.63M (Peak 114.63M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.035
Fra:1 Mem:114.64M (Peak 114.64M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.036
Fra:1 Mem:114.64M (Peak 114.64M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.037
Fra:1 Mem:114.65M (Peak 114.65M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_shaft_module.038
Fra:1 Mem:114.66M (Peak 114.66M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_attached_shaft.016
Fra:1 Mem:114.67M (Peak 114.67M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | StoneColumn_attached_shaft.017
Fra:1 Mem:114.67M (Peak 114.67M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_pier
Fra:1 Mem:114.68M (Peak 114.68M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.002
Fra:1 Mem:114.69M (Peak 114.69M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.003
Fra:1 Mem:114.70M (Peak 114.70M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.006
Fra:1 Mem:114.71M (Peak 114.71M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.008
Fra:1 Mem:114.71M (Peak 114.71M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.009
Fra:1 Mem:114.72M (Peak 114.72M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.010
Fra:1 Mem:114.72M (Peak 114.72M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.012
Fra:1 Mem:114.72M (Peak 114.72M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.013
Fra:1 Mem:114.72M (Peak 114.72M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.014
Fra:1 Mem:114.73M (Peak 114.73M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.016
Fra:1 Mem:114.73M (Peak 114.73M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.018
Fra:1 Mem:114.73M (Peak 114.73M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.019
Fra:1 Mem:114.73M (Peak 114.73M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.020
Fra:1 Mem:114.74M (Peak 114.74M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.022
Fra:1 Mem:114.74M (Peak 114.74M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.023
Fra:1 Mem:114.74M (Peak 114.74M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.024
Fra:1 Mem:114.75M (Peak 114.75M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.025
Fra:1 Mem:114.75M (Peak 114.75M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.026
Fra:1 Mem:114.75M (Peak 114.75M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.028
Fra:1 Mem:114.75M (Peak 114.75M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.029
Fra:1 Mem:114.76M (Peak 114.76M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.031
Fra:1 Mem:114.76M (Peak 114.76M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.032
Fra:1 Mem:114.76M (Peak 114.76M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.033
Fra:1 Mem:114.77M (Peak 114.77M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.036
Fra:1 Mem:114.77M (Peak 114.77M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.037
Fra:1 Mem:114.77M (Peak 114.77M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.038
Fra:1 Mem:114.77M (Peak 114.77M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.040
Fra:1 Mem:114.78M (Peak 114.78M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.042
Fra:1 Mem:114.78M (Peak 114.78M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.043
Fra:1 Mem:114.78M (Peak 114.78M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.044
Fra:1 Mem:114.79M (Peak 114.79M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.046
Fra:1 Mem:114.79M (Peak 114.79M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.047
Fra:1 Mem:114.79M (Peak 114.79M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.049
Fra:1 Mem:114.79M (Peak 114.79M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.050
Fra:1 Mem:114.80M (Peak 114.80M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.053
Fra:1 Mem:114.80M (Peak 114.80M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GothicRib_voussoir.055
